round,global_loss,global_accuracy,elapsed_time,noniid_effectiveness,client_details
17,1.8869121249314327,35.03,199.32820320129395,5.181977329331652,"[{""client_id"": 6, ""average_loss"": 1.1534249714829705, ""accuracy"": 60.7403452571632, ""samples"": 5619}, {""client_id"": 5, ""average_loss"": 1.6526601094948619, ""accuracy"": 46.603611349957006, ""samples"": 1163}, {""client_id"": 9, ""average_loss"": 1.1825500050770867, ""accuracy"": 58.65570599613153, ""samples"": 6204}, {""client_id"": 1, ""average_loss"": 1.4419256040028163, ""accuracy"": 52.018140589569164, ""samples"": 2205}, {""client_id"": 8, ""average_loss"": 1.2188773807489648, ""accuracy"": 57.95773607211468, ""samples"": 6767}]"
18,1.650943028699061,38.11,211.31867361068726,2.400076623114795,"[{""client_id"": 6, ""average_loss"": 1.0801104747436263, ""accuracy"": 63.249688556682685, ""samples"": 5619}, {""client_id"": 4, ""average_loss"": 1.1314069573526029, ""accuracy"": 59.889871033183596, ""samples"": 6901}, {""client_id"": 2, ""average_loss"": 1.3202510875463487, ""accuracy"": 56.29315756434401, ""samples"": 6372}, {""client_id"": 8, ""average_loss"": 1.1325200874850434, ""accuracy"": 61.903354514555936, ""samples"": 6767}, {""client_id"": 7, ""average_loss"": 1.2258693311895643, ""accuracy"": 59.05336012502791, ""samples"": 4479}]"
19,1.5798188182199078,41.29,222.06317234039307,1.7979150064696827,"[{""client_id"": 3, ""average_loss"": 1.1400636815362506, ""accuracy"": 57.773851590106005, ""samples"": 2264}, {""client_id"": 0, ""average_loss"": 1.0820398363802168, ""accuracy"": 62.33329178611492, ""samples"": 8023}, {""client_id"": 8, ""average_loss"": 1.1009220998242217, ""accuracy"": 61.72602334860352, ""samples"": 6767}, {""client_id"": 7, ""average_loss"": 1.127514159679413, ""accuracy"": 61.442286224603706, ""samples"": 4479}, {""client_id"": 6, ""average_loss"": 1.0712098174474456, ""accuracy"": 62.87595657590319, ""samples"": 5619}]"
20,1.4432537335499076,44.69,232.8117218017578,2.207279064570177,"[{""client_id"": 8, ""average_loss"": 1.0992922119374544, ""accuracy"": 61.903354514555936, ""samples"": 6767}, {""client_id"": 0, ""average_loss"": 1.022931599900836, ""accuracy"": 64.43973575969089, ""samples"": 8023}, {""client_id"": 7, ""average_loss"": 1.0458441546985082, ""accuracy"": 64.1214556820719, ""samples"": 4479}, {""client_id"": 2, ""average_loss"": 1.1357077765464783, ""accuracy"": 61.95856873822976, ""samples"": 6372}, {""client_id"": 3, ""average_loss"": 1.1809790763590071, ""accuracy"": 58.25971731448763, ""samples"": 2264}]"
21,1.5843194943324777,37.1,243.3094825744629,1.3329107418599273,"[{""client_id"": 2, ""average_loss"": 1.0423941153287888, ""accuracy"": 64.50094161958569, ""samples"": 6372}, {""client_id"": 6, ""average_loss"": 1.0716107745062222, ""accuracy"": 63.33867236163018, ""samples"": 5619}, {""client_id"": 8, ""average_loss"": 1.0867421548321563, ""accuracy"": 62.450125609575885, ""samples"": 6767}, {""client_id"": 9, ""average_loss"": 1.132541240490589, ""accuracy"": 60.94455190199871, ""samples"": 6204}, {""client_id"": 3, ""average_loss"": 1.0911362767219543, ""accuracy"": 61.17491166077738, ""samples"": 2264}]"
22,1.558343754452505,40.02,251.7899570465088,3.062130062338918,"[{""client_id"": 3, ""average_loss"": 0.9936196290784411, ""accuracy"": 64.31095406360424, ""samples"": 2264}, {""client_id"": 8, ""average_loss"": 1.1846886895737558, ""accuracy"": 59.74582532880154, ""samples"": 6767}, {""client_id"": 1, ""average_loss"": 1.2061340604509627, ""accuracy"": 59.27437641723356, ""samples"": 2205}, {""client_id"": 5, ""average_loss"": 1.0446727197421224, ""accuracy"": 67.23989681857266, ""samples"": 1163}, {""client_id"": 0, ""average_loss"": 1.0095317193440028, ""accuracy"": 64.6516265736009, ""samples"": 8023}]"
23,1.5470649292514582,41.86,261.2982666492462,5.734678741724412,"[{""client_id"": 9, ""average_loss"": 1.1259519039970083, ""accuracy"": 61.37975499677627, ""samples"": 6204}, {""client_id"": 3, ""average_loss"": 1.182664112912284, ""accuracy"": 57.332155477031804, ""samples"": 2264}, {""client_id"": 4, ""average_loss"": 1.08699332177639, ""accuracy"": 62.3532821330242, ""samples"": 6901}, {""client_id"": 5, ""average_loss"": 0.9060603317461515, ""accuracy"": 74.37661220980223, ""samples"": 1163}, {""client_id"": 2, ""average_loss"": 1.1042742216587067, ""accuracy"": 61.98995605775267, ""samples"": 6372}]"
24,1.7645853864159553,36.68,271.6669821739197,6.144973379157072,"[{""client_id"": 7, ""average_loss"": 1.4935862243175506, ""accuracy"": 54.87832105380665, ""samples"": 4479}, {""client_id"": 2, ""average_loss"": 0.9938256931304932, ""accuracy"": 66.2586315128688, ""samples"": 6372}, {""client_id"": 6, ""average_loss"": 1.018050727519122, ""accuracy"": 64.60224239188467, ""samples"": 5619}, {""client_id"": 5, ""average_loss"": 1.6139303351703442, ""accuracy"": 50.300945829750646, ""samples"": 1163}, {""client_id"": 0, ""average_loss"": 1.057505764658489, ""accuracy"": 62.89417923470024, ""samples"": 8023}]"
25,1.4030091253815182,47.3,278.9693624973297,3.4120991916739185,"[{""client_id"": 1, ""average_loss"": 1.2906674470220294, ""accuracy"": 56.78004535147392, ""samples"": 2205}, {""client_id"": 2, ""average_loss"": 1.071258943080902, ""accuracy"": 64.15568110483365, ""samples"": 6372}, {""client_id"": 3, ""average_loss"": 1.2300397008657455, ""accuracy"": 56.18374558303887, ""samples"": 2264}, {""client_id"": 7, ""average_loss"": 1.0659491096224103, ""accuracy"": 63.85353873632507, ""samples"": 4479}, {""client_id"": 5, ""average_loss"": 1.1978218273112649, ""accuracy"": 61.564918314703355, ""samples"": 1163}]"
26,1.5633306245135654,43.99,287.97477984428406,2.757941732926589,"[{""client_id"": 6, ""average_loss"": 1.0292305648326874, ""accuracy"": 64.12172984516818, ""samples"": 5619}, {""client_id"": 8, ""average_loss"": 1.0113905128443017, ""accuracy"": 64.44510122654056, ""samples"": 6767}, {""client_id"": 9, ""average_loss"": 1.0790354670937528, ""accuracy"": 62.121212121212125, ""samples"": 6204}, {""client_id"": 3, ""average_loss"": 1.0463531497451994, ""accuracy"": 63.56007067137809, ""samples"": 2264}, {""client_id"": 5, ""average_loss"": 0.8797829158996281, ""accuracy"": 70.16337059329321, ""samples"": 1163}]"
