round,global_loss,global_accuracy,elapsed_time,noniid_effectiveness,client_details
22,3.349137253822035,18.8,2918.53253865242,0.0,"[{""client_id"": 6, ""average_loss"": 3.6534739470542847, ""accuracy"": 43.344, ""samples"": 75000}, {""client_id"": 9, ""average_loss"": 3.773301907512538, ""accuracy"": 43.21066666666667, ""samples"": 75000}, {""client_id"": 8, ""average_loss"": 3.7638923978561634, ""accuracy"": 43.09866666666667, ""samples"": 75000}, {""client_id"": 7, ""average_loss"": 3.6831725451647475, ""accuracy"": 42.936, ""samples"": 75000}, {""client_id"": 1, ""average_loss"": 3.8350597647449853, ""accuracy"": 42.861333333333334, ""samples"": 75000}]"
23,3.2985933237015064,22.5,3083.9433455467224,0.0,"[{""client_id"": 1, ""average_loss"": 3.7794350257614995, ""accuracy"": 43.308, ""samples"": 75000}, {""client_id"": 9, ""average_loss"": 3.71801252316331, ""accuracy"": 43.612, ""samples"": 75000}, {""client_id"": 4, ""average_loss"": 3.569051182788351, ""accuracy"": 43.668, ""samples"": 75000}, {""client_id"": 7, ""average_loss"": 3.68099691099523, ""accuracy"": 43.59733333333333, ""samples"": 75000}, {""client_id"": 6, ""average_loss"": 3.7169661406056047, ""accuracy"": 43.52, ""samples"": 75000}]"
24,3.287793628729073,23.7,3249.635193347931,0.0,"[{""client_id"": 2, ""average_loss"": 3.535568180596432, ""accuracy"": 43.574666666666666, ""samples"": 75000}, {""client_id"": 1, ""average_loss"": 3.392336139898471, ""accuracy"": 43.91866666666667, ""samples"": 75000}, {""client_id"": 7, ""average_loss"": 3.373777686177617, ""accuracy"": 44.008, ""samples"": 75000}, {""client_id"": 6, ""average_loss"": 3.3600452888347303, ""accuracy"": 44.18, ""samples"": 75000}, {""client_id"": 3, ""average_loss"": 3.481327060848246, ""accuracy"": 43.90266666666667, ""samples"": 75000}]"
25,3.27903104739584,23.0,3415.1915991306305,0.0,"[{""client_id"": 0, ""average_loss"": 3.4692894891094976, ""accuracy"": 43.852, ""samples"": 75000}, {""client_id"": 6, ""average_loss"": 3.267782557041139, ""accuracy"": 44.54, ""samples"": 75000}, {""client_id"": 8, ""average_loss"": 3.339167487285936, ""accuracy"": 44.19733333333333, ""samples"": 75000}, {""client_id"": 2, ""average_loss"": 3.451101853719453, ""accuracy"": 44.144, ""samples"": 75000}, {""client_id"": 9, ""average_loss"": 3.2733183565651975, ""accuracy"": 44.312, ""samples"": 75000}]"
26,3.2801271904805662,23.5,3579.4781618118286,0.0,"[{""client_id"": 5, ""average_loss"": 3.75343549708881, ""accuracy"": 43.98266666666667, ""samples"": 75000}, {""client_id"": 0, ""average_loss"": 3.2751639706399436, ""accuracy"": 44.693333333333335, ""samples"": 75000}, {""client_id"": 3, ""average_loss"": 3.5029461862486038, ""accuracy"": 44.292, ""samples"": 75000}, {""client_id"": 2, ""average_loss"": 3.2143414493107123, ""accuracy"": 44.962666666666664, ""samples"": 75000}, {""client_id"": 7, ""average_loss"": 3.212814848136414, ""accuracy"": 44.62533333333333, ""samples"": 75000}]"
27,3.0752662238042068,28.3,3745.0780806541443,0.0,"[{""client_id"": 8, ""average_loss"": 3.1774289693368973, ""accuracy"": 45.01466666666666, ""samples"": 75000}, {""client_id"": 5, ""average_loss"": 3.151474946600092, ""accuracy"": 44.94133333333333, ""samples"": 75000}, {""client_id"": 6, ""average_loss"": 3.3247090715276615, ""accuracy"": 44.996, ""samples"": 75000}, {""client_id"": 1, ""average_loss"": 3.2098907424360896, ""accuracy"": 44.89333333333333, ""samples"": 75000}, {""client_id"": 9, ""average_loss"": 3.1429278707260364, ""accuracy"": 45.034666666666666, ""samples"": 75000}]"
28,3.077938295853366,27.7,3910.0273365974426,0.0,"[{""client_id"": 3, ""average_loss"": 3.4201932700393756, ""accuracy"": 45.072, ""samples"": 75000}, {""client_id"": 6, ""average_loss"": 3.0294390087542324, ""accuracy"": 45.242666666666665, ""samples"": 75000}, {""client_id"": 1, ""average_loss"": 3.130882073851193, ""accuracy"": 45.18666666666667, ""samples"": 75000}, {""client_id"": 0, ""average_loss"": 3.510478164228942, ""accuracy"": 44.93333333333333, ""samples"": 75000}, {""client_id"": 2, ""average_loss"": 3.0942947974290385, ""accuracy"": 45.29066666666667, ""samples"": 75000}]"
29,3.06206068073868,27.7,4071.6036715507507,0.0,"[{""client_id"": 4, ""average_loss"": 3.0849167300612117, ""accuracy"": 45.282666666666664, ""samples"": 75000}, {""client_id"": 3, ""average_loss"": 3.0087117176226643, ""accuracy"": 45.522666666666666, ""samples"": 75000}, {""client_id"": 1, ""average_loss"": 3.0440490087279883, ""accuracy"": 45.534666666666666, ""samples"": 75000}, {""client_id"": 0, ""average_loss"": 3.124764068962058, ""accuracy"": 45.56, ""samples"": 75000}, {""client_id"": 6, ""average_loss"": 2.9760665518548484, ""accuracy"": 45.584, ""samples"": 75000}]"
30,2.991624662450924,27.8,4232.006997823715,0.0,"[{""client_id"": 5, ""average_loss"": 2.9956061745543616, ""accuracy"": 45.64533333333333, ""samples"": 75000}, {""client_id"": 4, ""average_loss"": 2.9646760957015443, ""accuracy"": 45.85466666666667, ""samples"": 75000}, {""client_id"": 6, ""average_loss"": 2.8773025902335907, ""accuracy"": 46.129333333333335, ""samples"": 75000}, {""client_id"": 1, ""average_loss"": 2.927041520852872, ""accuracy"": 45.769333333333336, ""samples"": 75000}, {""client_id"": 3, ""average_loss"": 2.9184247831554364, ""accuracy"": 46.029333333333334, ""samples"": 75000}]"
31,3.1970059028856315,19.0,4397.853693723679,0.0,"[{""client_id"": 5, ""average_loss"": 3.141412155097708, ""accuracy"": 44.253499645950214, ""samples"": 73436}, {""client_id"": 1, ""average_loss"": 3.1324151037904002, ""accuracy"": 44.17315757938886, ""samples"": 73436}, {""client_id"": 2, ""average_loss"": 3.1452000619810256, ""accuracy"": 44.05060188463424, ""samples"": 73436}, {""client_id"": 3, ""average_loss"": 3.63609140333922, ""accuracy"": 43.98251538754834, ""samples"": 73436}, {""client_id"": 4, ""average_loss"": 3.5835554929035704, ""accuracy"": 44.00702652649927, ""samples"": 73436}]"
32,3.22679837114492,18.6,4559.984511613846,0.0,"[{""client_id"": 5, ""average_loss"": 3.024117232283668, ""accuracy"": 44.66746554823248, ""samples"": 73436}, {""client_id"": 8, ""average_loss"": 3.156752618072588, ""accuracy"": 44.15817855002996, ""samples"": 73436}, {""client_id"": 7, ""average_loss"": 3.1406748236902535, ""accuracy"": 44.245329266299905, ""samples"": 73436}, {""client_id"": 9, ""average_loss"": 3.1522483728121005, ""accuracy"": 44.279372514842855, ""samples"": 73436}, {""client_id"": 3, ""average_loss"": 2.969529961381117, ""accuracy"": 45.223051364453404, ""samples"": 73436}]"
33,3.219129160331313,19.2,4720.596628189087,0.0,"[{""client_id"": 4, ""average_loss"": 3.1647207898557035, ""accuracy"": 44.94934364616809, ""samples"": 73436}, {""client_id"": 5, ""average_loss"": 3.1044405689629753, ""accuracy"": 45.23666866387058, ""samples"": 73436}, {""client_id"": 2, ""average_loss"": 2.9656192216726827, ""accuracy"": 45.013344953428835, ""samples"": 73436}, {""client_id"": 3, ""average_loss"": 2.8326461342594507, ""accuracy"": 45.26526499264666, ""samples"": 73436}, {""client_id"": 0, ""average_loss"": 3.1893638637669555, ""accuracy"": 44.554441963069884, ""samples"": 73436}]"
